timestamp,price,high,low,volume
2025-09-25 15:39:40.023000,111200.73,113940.0,110629.99,15567.3581
2025-09-25 15:39:41.023000,111200.73,113940.0,110629.99,15567.35206
2025-09-25 15:39:42.024000,111186.41,113940.0,110629.99,15567.59842
2025-09-25 15:39:43.023000,111184.98,113940.0,110629.99,15567.66847
2025-09-25 15:39:44.023000,111184.98,113940.0,110629.99,15566.61435
2025-09-25 15:39:45.023000,111184.98,113940.0,110629.99,15566.61568
2025-09-25 15:39:46.023000,111184.98,113940.0,110629.99,15565.91993
2025-09-25 15:39:47.023000,111184.98,113940.0,110629.99,15566.10964
2025-09-25 15:39:48.023000,111184.99,113940.0,110629.99,15566.20603
2025-09-25 15:39:49.023000,111184.98,113940.0,110629.99,15566.20586
2025-09-25 15:39:50.023000,111184.98,113940.0,110629.99,15566.28319
2025-09-25 15:39:51.023000,111184.99,113940.0,110629.99,15566.28208
2025-09-25 15:39:52.023000,111184.98,113940.0,110629.99,15565.84846
2025-09-25 15:39:53.023000,111190.71,113940.0,110629.99,15565.88763
2025-09-25 15:39:54.023000,111197.53,113940.0,110629.99,15566.05176
2025-09-25 15:39:55.023000,111197.53,113940.0,110629.99,15567.02905
2025-09-25 15:39:56.023000,111197.53,113940.0,110629.99,15566.84706
2025-09-25 15:39:57.023000,111197.53,113940.0,110629.99,15566.85429
2025-09-25 15:39:58.023000,111209.58,113940.0,110629.99,15566.23347
2025-09-25 15:39:59.029000,111209.59,113940.0,110629.99,15566.23338
2025-09-25 15:40:00.024000,111215.0,113940.0,110629.99,15566.3991
2025-09-25 15:40:01.023000,111222.34,113940.0,110629.99,15566.39253
2025-09-25 15:40:02.023000,111225.69,113940.0,110629.99,15566.56639
2025-09-25 15:40:03.023000,111225.69,113940.0,110629.99,15566.26619
2025-09-25 15:40:04.023000,111225.69,113940.0,110629.99,15566.23424
2025-09-25 15:40:05.023000,111236.59,113940.0,110629.99,15566.36895
2025-09-25 15:40:06.023000,111236.58,113940.0,110629.99,15566.3022
2025-09-25 15:40:07.023000,111236.58,113940.0,110629.99,15566.30651
2025-09-25 15:40:08.024000,111236.58,113940.0,110629.99,15566.30603
2025-09-25 15:40:09.024000,111240.79,113940.0,110629.99,15566.49993
2025-09-25 15:40:10.023000,111240.78,113940.0,110629.99,15566.49026
2025-09-25 15:40:11.023000,111240.79,113940.0,110629.99,15566.49239
2025-09-25 15:40:12.023000,111240.78,113940.0,110629.99,15566.48366
2025-09-25 15:40:13.023000,111221.97,113940.0,110629.99,15566.84944
2025-09-25 15:40:14.023000,111221.97,113940.0,110629.99,15566.85421
2025-09-25 15:40:15.023000,111231.04,113940.0,110629.99,15566.95225
2025-09-25 15:40:16.024000,111231.13,113940.0,110629.99,15566.95301
2025-09-25 15:40:17.023000,111231.12,113940.0,110629.99,15566.8069
2025-09-25 15:40:18.023000,111231.12,113940.0,110629.99,15566.68737
2025-09-25 15:40:19.023000,111231.12,113940.0,110629.99,15566.45903
2025-09-25 15:40:20.024000,111231.12,113940.0,110629.99,15566.40133
2025-09-25 15:40:21.023000,111231.12,113940.0,110629.99,15566.40102
2025-09-25 15:40:22.023000,111231.12,113940.0,110629.99,15566.39987
2025-09-25 15:40:23.023000,111231.13,113940.0,110629.99,15566.40008
2025-09-25 15:40:24.023000,111231.13,113940.0,110629.99,15566.42003
2025-09-25 15:40:25.023000,111231.13,113940.0,110629.99,15565.18793
2025-09-25 15:40:26.023000,111234.27,113940.0,110629.99,15565.47994
2025-09-25 15:40:27.024000,111234.27,113940.0,110629.99,15565.40993
2025-09-25 15:40:28.023000,111234.26,113940.0,110629.99,15565.38731
2025-09-25 15:40:29.023000,111236.58,113940.0,110629.99,15565.40458
2025-09-25 15:40:30.023000,111240.59,113940.0,110629.99,15565.44517
2025-09-25 15:40:31.024000,111275.99,113940.0,110629.99,15566.7447
2025-09-25 15:40:32.024000,111275.99,113940.0,110629.99,15566.75592
2025-09-25 15:40:33.023000,111276.0,113940.0,110629.99,15566.7557
2025-09-25 15:40:34.024000,111275.99,113940.0,110629.99,15566.36394
2025-09-25 15:40:35.024000,111275.99,113940.0,110629.99,15566.19433
2025-09-25 15:40:36.023000,111282.0,113940.0,110629.99,15566.28367
2025-09-25 15:40:37.023000,111281.99,113940.0,110629.99,15566.09438
2025-09-25 15:40:38.023000,111282.0,113940.0,110629.99,15566.15722
2025-09-25 15:40:39.023000,111281.99,113940.0,110629.99,15566.22141
2025-09-25 15:40:40.023000,111282.0,113940.0,110629.99,15566.21926
2025-09-25 15:40:41.023000,111281.99,113940.0,110629.99,15566.2848
2025-09-25 15:40:42.024000,111282.01,113940.0,110629.99,15566.48947
2025-09-25 15:40:43.024000,111295.23,113940.0,110629.99,15566.66354
2025-09-25 15:40:44.023000,111295.23,113940.0,110629.99,15566.6563
2025-09-25 15:40:45.023000,111295.23,113940.0,110629.99,15566.63986
2025-09-25 15:40:46.023000,111295.24,113940.0,110629.99,15566.64645
2025-09-25 15:40:47.023000,111295.24,113940.0,110629.99,15566.69834
2025-09-25 15:40:48.024000,111295.24,113940.0,110629.99,15566.93242
2025-09-25 15:40:49.023000,111295.23,113940.0,110629.99,15567.01296
2025-09-25 15:40:50.023000,111295.23,113940.0,110629.99,15567.00303
2025-09-25 15:40:51.023000,111295.23,113940.0,110629.99,15567.02885
2025-09-25 15:40:52.023000,111295.24,113940.0,110629.99,15567.01019
2025-09-25 15:40:53.023000,111295.23,113940.0,110629.99,15567.00966
2025-09-25 15:40:54.023000,111295.23,113940.0,110629.99,15567.00967
2025-09-25 15:40:55.023000,111283.24,113940.0,110629.99,15568.47253
2025-09-25 15:40:56.023000,111283.25,113940.0,110629.99,15568.46844
2025-09-25 15:40:57.024000,111283.24,113940.0,110629.99,15568.47285
2025-09-25 15:40:58.023000,111283.25,113940.0,110629.99,15568.47188
2025-09-25 15:40:59.023000,111283.25,113940.0,110629.99,15568.47287
2025-09-25 15:41:00.023000,111295.25,113940.0,110629.99,15567.9607
2025-09-25 15:41:01.023000,111312.42,113940.0,110629.99,15570.23701
2025-09-25 15:41:02.023000,111318.58,113940.0,110629.99,15570.37413
2025-09-25 15:41:03.023000,111318.59,113940.0,110629.99,15570.18986
2025-09-25 15:41:04.023000,111326.89,113940.0,110629.99,15570.36129
2025-09-25 15:41:05.023000,111337.32,113940.0,110629.99,15570.51523
2025-09-25 15:41:06.023000,111337.32,113940.0,110629.99,15570.50834
2025-09-25 15:41:07.024000,111337.33,113940.0,110629.99,15570.51603
2025-09-25 15:41:08.024000,111337.32,113940.0,110629.99,15570.51736
2025-09-25 15:41:09.023000,111337.33,113940.0,110629.99,15570.5528
2025-09-25 15:41:10.023000,111337.33,113940.0,110629.99,15570.76315
2025-09-25 15:41:11.023000,111337.33,113940.0,110629.99,15570.85249
2025-09-25 15:41:12.023000,111337.33,113940.0,110629.99,15570.85241
2025-09-25 15:41:13.023000,111337.32,113940.0,110629.99,15570.77305
2025-09-25 15:41:14.023000,111337.32,113940.0,110629.99,15570.69447
2025-09-25 15:41:15.023000,111337.33,113940.0,110629.99,15570.59985
2025-09-25 15:41:16.034000,111360.59,113940.0,110629.99,15575.22251
2025-09-25 15:41:17.023000,111360.59,113940.0,110629.99,15574.37905
2025-09-25 15:41:18.023000,111360.58,113940.0,110629.99,15573.65779
2025-09-25 15:41:19.023000,111360.58,113940.0,110629.99,15573.69581
2025-09-25 15:41:20.023000,111360.58,113940.0,110629.99,15573.70539
2025-09-25 15:41:21.023000,111360.58,113940.0,110629.99,15572.9109
2025-09-25 15:41:22.023000,111360.58,113940.0,110629.99,15572.86095
2025-09-25 15:41:23.024000,111360.57,113940.0,110629.99,15572.97885
2025-09-25 15:41:24.023000,111360.56,113940.0,110629.99,15572.98899
2025-09-25 15:41:25.024000,111360.96,113940.0,110629.99,15573.04622
2025-09-25 15:41:26.023000,111375.22,113940.0,110629.99,15572.3341
2025-09-25 15:41:27.023000,111375.22,113940.0,110629.99,15572.1644
2025-09-25 15:41:28.023000,111375.22,113940.0,110629.99,15570.59489
2025-09-25 15:41:29.023000,111378.12,113940.0,110629.99,15570.35188
2025-09-25 15:41:30.023000,111379.05,113940.0,110629.99,15570.54761
2025-09-25 15:41:31.024000,111379.35,113940.0,110629.99,15570.19965
2025-09-25 15:41:32.023000,111379.31,113940.0,110629.99,15569.5885
2025-09-25 15:41:33.023000,111379.3,113940.0,110629.99,15569.04909
2025-09-25 15:41:34.023000,111374.45,113940.0,110629.99,15569.32134
2025-09-25 15:41:35.023000,111373.97,113940.0,110629.99,15569.34665
2025-09-25 15:41:36.023000,111373.97,113940.0,110629.99,15568.90783
2025-09-25 15:41:37.024000,111373.97,113940.0,110629.99,15568.89438
2025-09-25 15:41:38.023000,111371.0,113940.0,110629.99,15569.16826
2025-09-25 15:41:39.024000,111371.01,113940.0,110629.99,15568.71627
2025-09-25 15:41:40.023000,111371.01,113940.0,110629.99,15568.88144
2025-09-25 15:41:41.023000,111371.01,113940.0,110629.99,15568.45827
2025-09-25 15:41:42.024000,111373.98,113940.0,110629.99,15568.60518
2025-09-25 15:41:43.025000,111393.93,113940.0,110629.99,15569.06324
2025-09-25 15:41:44.023000,111401.26,113940.0,110629.99,15569.33146
2025-09-25 15:41:45.024000,111401.26,113940.0,110629.99,15568.99505
2025-09-25 15:41:46.023000,111389.75,113940.0,110629.99,15569.7676
2025-09-25 15:41:47.023000,111387.51,113940.0,110629.99,15569.45705
2025-09-25 15:41:48.023000,111387.52,113940.0,110629.99,15569.45477
2025-09-25 15:41:49.023000,111387.5,113940.0,110629.99,15569.11787
2025-09-25 15:41:50.023000,111387.51,113940.0,110629.99,15569.26654
2025-09-25 15:41:51.023000,111387.51,113940.0,110629.99,15568.83526
2025-09-25 15:41:52.023000,111387.51,113940.0,110629.99,15568.61455
2025-09-25 15:41:53.023000,111387.5,113940.0,110629.99,15568.15472
2025-09-25 15:41:54.023000,111387.51,113940.0,110629.99,15567.78773
2025-09-25 15:41:55.023000,111376.81,113940.0,110629.99,15568.47186
2025-09-25 15:41:56.023000,111376.81,113940.0,110629.99,15568.46413
2025-09-25 15:41:57.023000,111376.35,113940.0,110629.99,15568.1871
2025-09-25 15:41:58.024000,111370.9,113940.0,110629.99,15568.09454
2025-09-25 15:41:59.023000,111367.99,113940.0,110629.99,15568.12616
2025-09-25 15:42:00.044000,111330.29,113940.0,110629.99,15568.65598
2025-09-25 15:42:01.023000,111330.3,113940.0,110629.99,15566.99778
2025-09-25 15:42:02.023000,111330.29,113940.0,110629.99,15566.99859
2025-09-25 15:42:03.023000,111330.29,113940.0,110629.99,15567.0178
2025-09-25 15:42:04.023000,111330.29,113940.0,110629.99,15567.0147
2025-09-25 15:42:05.023000,111330.29,113940.0,110629.99,15566.5738
2025-09-25 15:42:06.023000,111330.3,113940.0,110629.99,15564.49871
2025-09-25 15:42:07.023000,111330.29,113940.0,110629.99,15564.5011
2025-09-25 15:42:08.023000,111330.3,113940.0,110629.99,15561.44424
2025-09-25 15:42:09.023000,111330.3,113940.0,110629.99,15561.4411
